Sr.No,Laptop Name,Prices
0,MSI GF65 Thin 9SEXR-438IN Intel Core i5-9300H 9th Gen Processor 15.6-inch Laptop(8GB/512GB NVMe SSD/Windows 10 Home/Nvidia GeForce RTX 2060/Grey/1.8Kg ) 9S7-16W112-438,"1,09,730"
1,"Hammonds Flycatcher Original Bombay Brown Leather 15.6 inch Laptop Messenger Bag|Padded Laptop Compartment|Office Bag (L=15.6,B=3.75,H=10.75 inch) LB106BR","1,799."
2,Dell Inspiron 3585 15.6-inch HD Laptop (Ryzen 3 2200U/4GB/1TB HDD/Win 10 + MS Office/Vega 3 Graphics/Silver) D560170WIN9SE,"28,490"
3,"Lenovo Ideapad S145 AMD A6-9225 15.6 inch HD Thin and Light Laptop (4GB/1TB/Windows 10/Grey/1.85Kg), 81N30063IN","23,990"
4,"HP 14 8th Gen Intel Core i3 Processor 14-inch HD Laptop (8GB/256GB SSD/Win10 Home/MS Office H&S Edition/Jet Black), 14q cs0029TU","37,110"
5,"Lenovo ThinkPad E14 Intel Core i5 10th Gen 14-inch Full HD Thin and Light Laptop (8GB RAM/ 1TB HDD + 128GB SSD/ Windows 10 Home/ Microsoft Office Home & Student 2019/ Black/ 1.77 kg), 20RAS0KY00","59,990"
6,"Acer Aspire 3 A315-56 15.6-inch Laptop (Intel Core i5-1035G1/8GB/1TB HDD/Window 10, Home, 64Bit/Intel UHD Graphics), Black","43,990"
7,"ASUS VivoBook 14 X409UA-EK361TS Intel Core i3 7th Gen 14-inch FHD Compact and Light Laptop (4GB RAM/256GB NVMe SSD/Windows 10/MS-Office 2019/Integrated Graphics/FP Reader/1.60 kg), Transparent Silver","31,990"
8,"ASUS ZenBook UX430UA-GV573T Intel Core i5 8th Gen 14-inch FHD Thin and Light Laptop (8GB RAM/256GB SSD/Windows 10/Integrated Graphics/1.30 kg), Gold","46,067"
9,"HP 15q ds0049TU 15.6-inch Laptop (8th Gen i3-8130U/8GB/256GB SSD/Windows 10 Home/MS Office 2019/Integrated Graphics), Jet Black","37,709"
10,"Lenovo Ideapad Slim 3i Intel Core i3 10th Gen 14 inch HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/Platinum Grey/1.6Kg), 81WD00JYIN","33,675"
11,"ASUS VivoBook 14 X409FA-EK341T Intel Core i3 8th Gen 14-inch FHD Compact and Light Laptop (4GB RAM/1TB HDD/Windows 10/Integrated Graphics/FP Reader/1.60 kg), Transparent Silver","32,331"
12,"HP 14 10th Gen Intel Core i5 Processor 14-inch Laptop (i5-1035G1/8GB/1TB HDD + 256GB SSD/Win 10 Home/MS Office/Natural Silver ),14s cs3009TU","59,999"
13,Acer One 14 Z2-485 14-inch Laptop (Intel Pentium Gold Processor) 4415U/4GB/1TB HDD/Windows 10 Home Single Language 64 Bit with Intel HD 610 Graphics 3 Years Warranty Black,"28,999"
14,Forzza Zoey Laptop Table (Walnut),989
15,"Redragon Asura K501 USB Gaming Keyboard, 7 Color Backlight Illumination, 116 Standard Keys","1,599"
16,"LifeDigital Zed Note CX3 13.3 inch Touchscreen Convertible Laptop (Intel Core i3/8GB/256GB SSD/Windows 10/Intel HD Graphics), Gold","33,208"
17,"Acer Acer One Z2-485 14-inch Laptop (Pentium Gold 4415U/4GB/1TB HDD/Window 10 Home 64Bit/Integrated Graphics), Black","24,299"
18,Dell Inspiron 3493 14-inch FHD Laptop (10th Gen Ci5-1035G1/8GB/1TB HDD/Win 10 + MS Office/Intel HD Graphics/Silver) E-C560511WIN9,"50,584"
19,"AVITA PURA NS14A6IND541-MEGYB 14-inch Laptop (AMD A9-9420E/8GB/256GB SSD/FHD Display/Windows 10 Home in S Mode/AMD Radeon R5 Graphics), Metallic Black with 3 in 1 Sleeve (Grey)","22,990"
20,"Acer Aspire 3 Ryzen 3 15.6-inch Laptop (4GB/1TB/Windows 10/Obsidian Black/2.3kg), A315-42","28,990"
21,"HP 14s cf3006tu 14-inch Laptop (Core i3-1005G1/4GB/1TB HDD/Windows 10 Home/Intel UHD Graphics), Natural Silver","39,990"
22,"Acer Aspire 3 A315-56 15.6-inch Laptop (Intel Core i3-1005G1/4GB/1TB HDD/Window 10, Home, 64Bit/Intel UHD Graphics), Black","33,126"
23,"DELL Inspiron 15-3500 Gaming 15.6-inch FHD Laptop (10th Gen Core i5-10300H/8GB/1TB + 256GB SSD/Windows 10 Home Plus/4GB NVIDIA 1650 Graphics), Eclipse Black","73,990"
24,"Callas Multipurpose Foldable Laptop Table with Cup Holder, Study Table, Bed Table, Breakfast Table, Foldable and Portable/Ergonomic & Rounded Edges/Non-Slip Legs, CA025B, Brown","1,062"
25,pTron Bassbuds Lite V2 in-Ear True Wireless Bluetooth Headphones (TWS) with Mic - (Black),999
